#NAME	SRR13061234	SRR13061235	SRR13061236	SRR13061237	SRR13061238	SRR13061239	SRR13061240	SRR13061241	SRR13061242	SRR24889334	SRR24889335	SRR24889336	SRR24889338	SRR24889339	SRR24889340	SRR24889341	SRR24889342	SRR24889343	SRR24889344	SRR24889345	SRR24889346	SRR24889347	SRR24889349	SRR24889350	SRR24889351
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__Mobiluncus_curtisii	0	6.81E-06	1.68E-05	2.35E-05	2.41E-05	5.00E-06	2.18E-05	8.23E-06	7.49E-05	5.18E-06	4.50E-05	0	0	3.97E-06	2.79E-05	2.19E-05	3.64E-05	5.69E-06	5.71E-06	2.18E-06	0	3.60E-05	2.15E-06	2.99E-05	1.28E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Schaalia;s__Schaalia_cardiffensis	0.000151378	0.000367785	0.000262753	0.000213346	0.001019221	0.000709869	0.000348896	0.000292076	0.00017356	8.58E-05	0.002246134	0.00024024	8.41E-05	0.000123102	0.001271503	0.000249397	0.000274143	0.000231217	8.56E-06	0.000215536	5.68E-05	0.000340142	8.61E-06	0.001104039	0.004561724
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Schaalia;s__Schaalia_meyeri	0.00121102	0.001198706	0.003365479	0.003362919	0.003804021	0.005413998	0.00449203	0.002986585	0.00148377	0.001621808	0.007441258	0.001261261	0.001633049	0.001671809	0.002998112	0.002162691	0.004780087	0.002674157	0.000168409	0.002486284	0.00147568	0.004166742	0.000109764	0.01520714	0.005539054
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Schaalia;s__Schaalia_odontolytica	0.05161974	0.015719394	0.055781971	0.034106503	0.071168894	0.075695996	0.07513974	0.068393209	0.01825446	0.084553633	0.151876698	0.021321321	0.028830737	0.029524706	0.062447353	0.043724478	0.076697984	0.042638678	0.023645804	0.04190978	0.039162268	0.129846004	0.004676789	0.175020119	0.079931229
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Schaalia;s__Schaalia_radingae	0	4.09E-05	0.00011181	5.97E-05	7.22E-05	5.00E-05	9.09E-05	2.88E-05	0.000146335	3.70E-05	0.000230116	6.01E-05	1.98E-05	5.16E-05	7.98E-05	0.000103134	0.000128741	4.36E-05	1.71E-05	3.70E-05	0	0.000143906	4.30E-06	0.000126366	0.000102338
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Trueperella;s__Trueperella_bialowiezensis	0	6.81E-06	2.24E-05	2.17E-05	4.01E-05	4.50E-05	4.00E-05	1.44E-05	6.47E-05	9.61E-06	7.25E-05	0	1.48E-05	2.38E-05	3.59E-05	2.25E-05	4.39E-05	1.33E-05	0	1.31E-05	0	3.76E-05	0	9.98E-05	4.09E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Trueperella;s__Trueperella_pyogenes	0.000151378	6.13E-05	0.000145353	2.35E-05	4.01E-05	8.00E-05	5.81E-05	4.73E-05	0.000102094	2.00E-05	0.000147575	0.00024024	2.47E-05	1.99E-05	4.59E-05	7.56E-05	0.000199928	3.60E-05	1.71E-05	3.05E-05	0	0.000116106	6.46E-06	0.000152969	5.63E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinopolysporales;f__Actinopolysporaceae;g__Actinopolyspora;s__Actinopolyspora_erythraea	0	6.81E-06	5.59E-06	7.23E-06	8.03E-06	0	3.63E-06	4.11E-06	6.81E-06	3.70E-06	2.25E-05	6.01E-05	4.95E-06	3.97E-06	9.98E-06	5.63E-06	0	1.14E-05	5.71E-06	0	0	4.91E-06	4.30E-06	9.98E-06	5.12E-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_actinocoloniiforme	0	6.81E-06	0	5.42E-06	1.61E-05	2.00E-05	7.27E-06	6.17E-06	1.02E-05	0	1.50E-05	0	0	7.94E-06	5.99E-06	8.75E-06	7.57E-06	1.90E-06	0	0	0	1.64E-05	0	2.33E-05	2.30E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis	0	2.04E-05	1.68E-05	1.99E-05	1.61E-05	3.50E-05	1.09E-05	6.17E-06	3.74E-05	2.96E-06	5.25E-05	0	1.98E-05	9.13E-05	3.79E-05	2.06E-05	2.88E-05	3.79E-06	2.85E-06	1.31E-05	0	4.91E-05	2.15E-06	5.65E-05	4.09E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_angulatum	0	2.72E-05	1.12E-05	0	0	5.00E-06	1.09E-05	0	1.70E-05	0	1.25E-05	0	0	3.97E-06	3.99E-06	4.38E-06	6.06E-06	0	2.85E-06	2.18E-06	0	2.13E-05	0	6.65E-06	2.30E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_animalis	0	6.81E-06	2.24E-05	3.80E-05	3.21E-05	5.00E-06	3.63E-06	1.03E-05	3.40E-05	7.40E-06	3.00E-05	6.01E-05	9.90E-06	1.19E-05	1.80E-05	2.31E-05	2.88E-05	3.79E-06	8.56E-06	4.35E-06	0	2.45E-05	0	4.99E-05	1.28E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_asteroides	0	2.72E-05	2.24E-05	1.63E-05	0	5.00E-06	1.82E-05	1.44E-05	3.40E-05	2.22E-06	3.75E-05	6.01E-05	9.90E-06	1.99E-05	2.79E-05	2.19E-05	1.97E-05	5.69E-06	0	4.35E-06	0	2.94E-05	6.46E-06	9.98E-06	7.68E-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_bifidum	0	1.36E-05	5.03E-05	7.23E-06	5.62E-05	2.00E-05	1.45E-05	6.17E-06	4.42E-05	1.04E-05	8.75E-05	0	1.48E-05	1.59E-05	1.60E-05	1.13E-05	3.94E-05	1.14E-05	2.85E-06	1.09E-05	5.68E-05	8.34E-05	1.08E-05	5.99E-05	3.07E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve	0	6.81E-06	1.68E-05	1.27E-05	0.000272862	3.00E-05	1.09E-05	2.06E-06	5.10E-05	3.70E-06	2.25E-05	0	0	7.94E-06	3.19E-05	2.00E-05	3.03E-05	1.52E-05	1.14E-05	6.53E-06	0	9.98E-05	2.15E-06	5.99E-05	3.07E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_catenulatum	0.000151378	0	5.59E-06	2.53E-05	4.82E-05	1.00E-05	1.82E-05	4.11E-06	2.04E-05	7.40E-06	3.75E-05	0	4.95E-06	7.94E-06	3.79E-05	1.69E-05	1.51E-05	1.52E-05	0	1.31E-05	0	3.27E-05	4.30E-06	6.65E-05	3.84E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_choerinum	0	6.81E-06	1.68E-05	1.08E-05	0	1.00E-05	3.63E-06	2.06E-06	0	2.22E-06	1.50E-05	0	4.95E-06	0	1.40E-05	3.13E-06	4.54E-06	1.90E-06	0	0	0	8.18E-06	0	9.98E-06	1.02E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_coryneforme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.51E-06	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_dentium	0	0	1.68E-05	1.08E-05	1.61E-05	2.50E-05	7.27E-06	2.26E-05	2.04E-05	0	0.000137569	0.002942943	0	3.57E-05	0.000163679	5.63E-06	9.09E-06	2.08E-05	0	1.31E-05	0	4.91E-05	4.30E-06	2.66E-05	0.000307015
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_gallinarum	0	0	2.24E-05	1.08E-05	8.03E-06	0	7.27E-06	1.23E-05	0	0	1.50E-05	0	4.95E-06	7.94E-06	5.99E-06	6.25E-06	1.06E-05	7.58E-06	0	1.52E-05	0	1.31E-05	0	3.33E-06	1.54E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_indicum	0	0	0	0	0	0	0	0	0	1.48E-06	0	0	0	0	2.00E-06	0	0	0	0	2.18E-06	0	0	0	0	0
