#NAME	SRR24889296	SRR24889327	SRR24889328	SRR24889329	SRR24889330	SRR24889331	SRR24889332	SRR24889333	SRR29195097	SRR29195098	SRR29195099	SRR29195100	SRR29195101	SRR29195102	SRR29195103	SRR29195104
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_oxalaticus	2.41E-05	0	0	1.95E-05	3.60E-06	0	0	7.53E-05	4.10E-05	3.47E-05	0	8.08E-05	0.060727982	0	0	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp._oral_taxon_414	3.61E-05	0	0	0.000551529	0.001079785	0.046539348	0.001096171	0.001883523	0.004350324	0.001493107	0.000627117	0.00210084	1.11E-05	0.000328084	0.00059617	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa	0.001491711	0.00017059	0.00224635	0.001186031	0.011982018	0.002145525	0.007527039	0.005198523	0.00361159	0.00739609	0.000125423	0.005575307	0	0.000164042	0.010508966	0
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_viridans	0.002802974	0	0.005241483	0.001710716	0.005773252	0.018329669	0.000219234	0.001883523	0.007017976	0.007708601	0.001003386	0.000808016	3.33E-05	0	0.002279475	0.001860465
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_intermedia	0.002899213	0.000511771	0.002995133	0.002686873	0.00070546	0.003655339	0.000292312	0.007006705	0.00722318	0.006597451	0.011162674	0.010665805	1.11E-05	0	2.34E-05	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_lividans	0.001094724	0.000597066	0.004118308	0.001046929	0.000385123	0.001403862	0.001315405	0.000376705	0.003693672	0.001388937	0.005644049	0.00727214	0.001052958	0.001312336	0.000572791	0.025116279
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_campinensis	0	0	0	0	0	0	0	0	0	0	0	0	0.054000133	0	0	0
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp._1643	0.00347665	0.001620607	0.003369525	0.001993801	0.005956816	0.002966652	0.000950015	0.003917728	0.002667652	0.000972256	0.000501693	0.000404008	1.11E-05	0.000492126	0.024372852	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII._Incertae_Sedis|g__Mogibacterium|s__Mogibacterium_diversum	0	0.00017059	0.016847623	0.002374503	0.000439113	0.001191958	0	0	0.003324304	0.007882218	0.005142355	0.016241112	0	0	2.34E-05	0
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_denticola	0.00179246	8.53E-05	0	0.000339215	0.000629875	0.010171377	0.000146156	0	0.028030863	0.001979235	0.003010159	0.004928895	0	0	0.00030393	0.001860465
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_sp._oral_taxon_014	0	0	0.00935979	0.002015765	0.000658669	7.95E-05	0.010450161	0.002034205	0.010588525	0.013924095	0	0	3.33E-05	0	0.000467585	0.001860465
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pseudopneumoniae	0.014014869	0.003752985	0.001497566	0.001608219	0.001745653	0.00026488	0.001826951	0.014164093	0.002708692	0.002916768	0.000627117	0.000969619	1.11E-05	0.00082021	0.004196573	0
d__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_parvulum	0.001347352	0	0.008985399	0.000707714	0.000269946	0.001483326	0.000146156	0	0.001108101	0.004132088	0.009030478	0.021735617	0	0.000164042	0	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris	0.000180449	0.001364722	0.001497566	0.00018303	0.000669467	0.003416947	0.003800058	0.003917728	0.002421407	0.00131949	0.002132196	0.005332902	0	0	0.020901036	0.000930233
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp._oral_taxon_171	0.000216539	0.000426476	0.001497566	0.000529565	0.001248952	0.006436575	0.003215434	0.001431477	0.002544529	0.002013959	0.00112881	0.003555268	0	0	0.022572651	0.000930233
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp._oral_taxon_064	0.002273657	0.001279427	0.000748783	0.000898065	0.004329939	0.002198501	0.00036539	0.000602727	0.002175162	0.001770895	0.00037627	0.000646412	0	0.000328084	0.029738386	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_flavescens	3.61E-05	0	0.009734182	0.00347268	0.011510512	0.004476465	0.001607717	0.000527386	0.006156119	0.000138894	0.000627117	0.000161603	0	0	0.005283707	0.001860465
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii	0.000156389	0.000852951	0.000374392	0.0001269	0.000683864	0.003787778	0.003653902	0.004520455	0.001723713	0.001632001	0.002006773	0.005009696	0	0	0.019790522	0
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_pseudoperiodonticum	2.41E-05	0.0034971	0.010857357	0.001483759	0.001857231	0.006807406	0.000146156	0.000753409	0.010178117	0.000729192	0.005644049	0.00210084	0	0.000164042	0	0
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_cristatus	0.002550345	0.000426476	0.005241483	0.002098738	0.001331735	0.001642254	0.001096171	0.000753409	0.010875811	0.004340428	0.004766086	0.000808016	0	0	0.005014846	0
