dataSet,var,Species,Method,Estimate,Std.Error,t_value,p_value,OR,CI_low,CI_high,Zscore,direction,PlotValue,Text
CAMEB2,MMRC,Moraxella_catarrhalis,MASS::polr,0.156227945267791,0.895756482789308,0.174408947375196,0.861544083098815,1.16909266185959,0.202013146923816,6.7657856571552,0.174408947375196,1,NA,NA
CAMEB2,MMRC,Pseudomonas_aeruginosa,MASS::polr,0.133238349255273,0.412112623116685,0.323305673695775,0.746463757557332,1.14252228521573,0.509417404869849,2.56245106613128,0.323305673695775,1,NA,NA
CAMEB2,MMRC,Pseudomonas_tolaasii,MASS::polr,0.142073584449285,0.941652218962425,0.150876917813491,0.880072808943822,1.15266146337543,0.182039633217877,7.29856694207139,0.150876917813491,1,NA,NA
EMBARC,MMRC,Schaalia_odontolytica,MASS::polr,-5.16817212386945,1.08327551770292,-4.77087503540054,1.83427317716099e-06,0.00569496900911043,0.000681405402730443,0.047596734461993,-4.77087503540054,-1,-4.77087503540054,-
EMBARC,MMRC,Rothia_mucilaginosa,MASS::polr,-1.67057806148459,0.739711388124471,-2.25841874047704,0.0239195654390086,0.188138278706311,0.044140138466994,0.801900790162704,-2.25841874047704,-1,-2.25841874047704,-
EMBARC,MMRC,Porphyromonas_gingivalis,MASS::polr,0.890435163319964,1.26633975157294,0.703156607232729,0.481958158007925,2.43618956099366,0.20361076102311,29.1488502241826,0.703156607232729,1,NA,NA
EMBARC,MMRC,Prevotella_jejuni,MASS::polr,-4.63468720438222,1.45362590417102,-3.18836310709895,0.00143080739965934,0.00970914354097446,0.000562150121546183,0.167690915088598,-3.18836310709895,-1,-3.18836310709895,-
EMBARC,MMRC,Prevotella_melaninogenica,MASS::polr,-2.5161717302444,0.997924576244236,-2.52140471348466,0.0116887328097448,0.0807682181755852,0.0114236677311024,0.57105171656016,-2.52140471348466,-1,-2.52140471348466,-
EMBARC,MMRC,Staphylococcus_aureus,MASS::polr,-0.509628714448267,0.938019379818543,-0.543302969440624,0.586921220105354,0.600718575539728,0.095549301780734,3.77671840895903,-0.543302969440624,-1,NA,NA
EMBARC,MMRC,Streptococcus_mitis,MASS::polr,-1.73326038685626,0.882128442840996,-1.96486169437423,0.0494302472955956,0.176707335464056,0.0313606811132581,0.995688910391856,-1.96486169437423,-1,-1.96486169437423,-
