module	Number	Super.class	Class	Sub.class	Sub.class	Summary
skyblue4	16	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
lightpink3	16	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
coral	16	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
thistle	17	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
plum3	17	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
thistle3	17	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
darkviolet	17	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
mediumpurple2	18	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
indianred4	18	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
antiquewhite4	20	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
coral1	20	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
slateblue3	20	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
darkseagreen4	20	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
coral2	20	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
salmon4	21	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
maroon	21	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
orange4	21	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
brown4	23	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
floralwhite	23	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
ivory	24	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
lightcyan1	24	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
skyblue3	25	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
orangered4	25	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
darkmagenta	26	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
darkorange	28	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
skyblue	28	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
tan3	28	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
white	28	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
lightpink4	29	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
darkturquoise	29	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
darkred	29	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
lightgreen	30	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
salmon	31	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
lightyellow	34	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
antiquewhite3	35	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
lightblue2	35	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
honeydew1	39	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
paleturquoise	39	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
black	43	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
brown2	47	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
green	48	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
mistyrose	70	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
lightsteelblue1	83	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
magenta2	88	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
