Metabolites	Module	Class
HMDB0059977	whitesmoke	Benzenoids
HMDB0059979	deeppink1	Benzenoids
HMDB0134083	lavender	Benzenoids
HMDB0139534	darkmagenta	Benzenoids
HMDB0139940	antiquewhite4	Benzenoids
HMDB0137818	slateblue3	Benzenoids
C01468	antiquewhite3	Benzenoids
C02575	darkorange	Benzenoids
C20216	dodgerblue1	Benzenoids
HMDB0060000	orangered	Benzenoids
HMDB0128108	mediumpurple4	Benzenoids
HMDB0128697	whitesmoke	Benzenoids
HMDB0135483	orangered	Benzenoids
HMDB0135671	whitesmoke	Benzenoids
HMDB0135715	whitesmoke	Benzenoids
HMDB0139570	dodgerblue1	Benzenoids
HMDB0142220	sienna4	Benzenoids
HMDB0030196	lightpink4	Benzenoids
C18259	mistyrose	Benzenoids
HMDB0041793	black	Benzenoids
HMDB0059759	brown2	Benzenoids
HMDB0015334	dodgerblue1	Benzenoids
HMDB0060841	salmon4	Benzenoids
C19998	antiquewhite3	Others
C19999	honeydew1	Others
C19996	bisque4	Others
C19997	magenta2	Others
C12216	cornflowerblue	Lipids and lipid-like molecules
C16345	magenta2	Lipids and lipid-like molecules
C17941	whitesmoke	Lipids and lipid-like molecules
C17221	darkolivegreen	Lipids and lipid-like molecules
C16593	firebrick	Lipids and lipid-like molecules
C21945	rosybrown1	Lipids and lipid-like molecules
C21953	floralwhite	Lipids and lipid-like molecules
C13825	mistyrose2	Lipids and lipid-like molecules
C01037	seashell4	Lipids and lipid-like molecules
C05717	burlywood	Lipids and lipid-like molecules
C16436	whitesmoke	Lipids and lipid-like molecules
C06008	darkturquoise	Lipids and lipid-like molecules
C04797	lightblue	Lipids and lipid-like molecules
C18241	orangered1	Lipids and lipid-like molecules
C00684	brown4	Lipids and lipid-like molecules
C02780	lightyellow	Lipids and lipid-like molecules
C04593	dodgerblue1	Lipids and lipid-like molecules
C01092	whitesmoke	Lipids and lipid-like molecules
C21958	oldlace	Lipids and lipid-like molecules
C04103	magenta2	Lipids and lipid-like molecules
C18191	mistyrose2	Lipids and lipid-like molecules
C08378	chocolate4	Lipids and lipid-like molecules
C08553	dodgerblue1	Lipids and lipid-like molecules
C11842	whitesmoke	Lipids and lipid-like molecules
C02722	coral	Lipids and lipid-like molecules
C05944	salmon4	Lipids and lipid-like molecules
C10944	mediumpurple	Lipids and lipid-like molecules
C01291	mistyrose2	Lipids and lipid-like molecules
C02593	whitesmoke	Lipids and lipid-like molecules
C07297	floralwhite	Lipids and lipid-like molecules
C16528	lightsteelblue	Lipids and lipid-like molecules
C03425	whitesmoke	Lipids and lipid-like molecules
C21669	whitesmoke	Lipids and lipid-like molecules
C20186	lightseagreen	Lipids and lipid-like molecules
C20988	lightpink2	Lipids and lipid-like molecules
C00810	whitesmoke	Lipids and lipid-like molecules
C10100	steelblue	Phenylpropanoids and polyketides
C08574	khaki3	Phenylpropanoids and polyketides
C12137	orange3	Phenylpropanoids and polyketides
C12645	seashell2	Phenylpropanoids and polyketides
C05622	whitesmoke	Phenylpropanoids and polyketides
C07576	greenyellow	Others
C08438	whitesmoke	Others
C08439	magenta1	Others
C06048	orchid	Others
C08271	dodgerblue1	Others
C20070	magenta1	Others
C20546	lavenderblush3	Others
C20551	dodgerblue1	Others
C20596	dodgerblue1	Others
C20597	darkorange2	Others
C20598	darkseagreen3	Others
C20601	dodgerblue1	Others
C20731	dodgerblue1	Others
C03032	paleturquoise	Others
C08441	dodgerblue1	Others
C08511	honeydew1	Others
C10595	salmon	Others
C11590	cyan	Others
C20017	rosybrown2	Others
C13892	dodgerblue1	Lipids and lipid-like molecules
C13900	green	Lipids and lipid-like molecules
C13902	skyblue	Lipids and lipid-like molecules
HMDB0059920	honeydew1	Others
C00009	whitesmoke	Others
C02466	green4	Others
C11684	dodgerblue1	Others
HMDB0036759	deeppink1	Others
HMDB0030944	whitesmoke	Others
HMDB0032730	dodgerblue1	Others
HMDB0030557	lightsteelblue1	Others
HMDB0031536	cyan	Others
HMDB0032830	lightblue2	Others
HMDB0036397	whitesmoke	Others
